tpins;usina;din_entrada;din_desativacao
TER;IVX36;2002-08-21 00:00:00.000;2024-02-01 00:00:00.000
HID;IVX37;1967-01-01 00:00:00.000;
TER;IVX38;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
HID;IVX39;1956-04-01 00:00:00.000;
HID;IVX40;2004-08-24 00:00:00.000;
HID;IVX41;1999-05-09 00:00:00.000;
HID;IVX42;1999-05-15 00:00:00.000;
TER;IVX43;2009-11-17 00:00:00.000;
TER;IVX44;2002-05-01 00:00:00.000;
TER;IVX45;2002-04-20 00:00:00.000;2003-06-26 00:00:00.000
TER;IVX46;2002-04-17 00:00:00.000;2003-06-26 00:00:00.000
TER;IVX47;2002-07-16 00:00:00.000;
NUC;IVX48;2006-02-25 00:00:00.000;
HID;IVX49;1969-04-01 00:00:00.000;
HID;IVX50;2003-01-23 00:00:00.000;
HID;IVX51;1963-03-01 00:00:00.000;
TER;IVX52;2002-06-26 00:00:00.000;2005-01-01 00:00:00.000
HID;IVX53;2002-10-24 00:00:00.000;
HID;IVX54;2002-12-22 00:00:00.000;
HID;IVX55;1980-02-01 00:00:00.000;
HID;IVX56;1955-02-01 00:00:00.000;
TER;IVX57;2018-10-16 00:00:00.000;
HID;IVX58;1992-09-26 00:00:00.000;
TER;IVX59;2004-12-31 00:00:00.000;
HID;IVX60;1994-12-07 00:00:00.000;
HID;IVX61;2005-04-16 00:00:00.000;
HID;IVX62;1973-03-01 00:00:00.000;
HID;IVX63;1993-04-01 00:00:00.000;
TER;IVX64;1965-03-29 00:00:00.000;
TER;IVX65;2012-12-01 00:00:00.000;
TER;IVX66;1963-04-08 00:00:00.000;
HID;IVX67;2002-05-22 00:00:00.000;
HID;IVX68;2006-06-23 00:00:00.000;
HID;IVX69;1987-01-01 00:00:00.000;
HID;IVX70;2010-07-06 00:00:00.000;
HID;IVX71;2001-04-01 00:00:00.000;
HID;IVX72;1999-02-18 00:00:00.000;
HID;IVX73;1956-02-28 00:00:00.000;
TER;IVX74;2002-10-29 00:00:00.000;2005-01-01 00:00:00.000
HID;IVX75;1988-02-28 00:00:00.000;
HID;IVX76;1994-04-30 00:00:00.000;
HID;IVX77;1956-01-01 00:00:00.000;
TER;IVX78;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX79;2002-02-16 00:00:00.000;2006-01-01 00:00:00.000
HID;IVX80;2006-04-01 00:00:00.000;
HID;IVX81;1970-01-31 00:00:00.000;
HID;IVX82;2000-07-01 00:00:00.000;
TER;IVX83;2004-02-01 03:00:00.000;
TER;IVX84;2008-01-01 00:00:00.000;
TER;IVX85;2004-11-05 00:00:00.000;
TER;IVX86;2002-06-28 00:00:00.000;2005-01-01 00:00:00.000
HID;IVX87;2001-12-01 00:00:00.000;
TER;IVX88;1979-11-15 00:00:00.000;
TER;IVX89;1996-11-01 00:00:00.000;
HID;IVX90;2002-02-16 00:00:00.000;
HID;IVX91;1984-04-30 00:00:00.000;
TER;IVX92;2003-03-31 00:00:00.000;2018-10-05 00:00:00.000
HID;IVX93;1961-04-30 00:00:00.000;
TER;IVX94;2004-05-15 00:00:00.000;
TER;IVX95;2003-12-27 00:00:00.000;2023-12-29 00:00:00.000
TER;IVX96;2001-10-27 00:00:00.000;
TER;IVX97;2019-03-13 00:00:00.000;
TER;IVX98;2020-03-21 00:00:00.000;
HID;IVX99;1978-02-01 00:00:00.000;
TER;IVX100;2004-01-08 00:00:00.000;
HID;IVX101;1971-01-01 00:00:00.000;
TER;IVX103;2012-07-17 00:00:00.000;
TER;IVX104;2013-02-05 00:00:00.000;
TER;IVX105;1977-07-07 00:00:00.000;
TER;IVX106;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
HID;IVX107;1997-11-02 00:00:00.000;
HID;IVX108;1926-04-01 00:00:00.000;
TER;IVX109;2002-07-08 00:00:00.000;
HID;IVX110;1969-02-01 00:00:00.000;
HID;IVX111;1999-01-01 00:00:00.000;
TER;IVX112;1978-03-01 00:00:00.000;2021-02-17 00:00:00.000
HID;IVX113;1984-02-01 00:00:00.000;
TER;IVX114;1977-07-07 00:00:00.000;2018-06-05 00:00:00.000
HID;IVX115;2001-02-05 00:00:00.000;
HID;IVX116;1969-04-30 00:00:00.000;
HID;IVX117;1956-04-01 00:00:00.000;
HID;IVX118;2010-05-25 00:00:00.000;
HID;IVX119;1953-04-01 00:00:00.000;
HID;IVX120;1924-03-01 00:00:00.000;
HID;IVX121;1999-06-06 00:00:00.000;
HID;IVX122;1962-04-01 00:00:00.000;
HID;IVX123;1957-01-01 00:00:00.000;
TER;IVX124;2019-12-20 00:00:00.000;2023-09-12 00:00:00.000
TER;IVX125;1967-03-01 00:00:00.000;
TER;IVX126;2003-02-12 00:00:00.000;
TER;IVX127;2002-08-05 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX128;2002-06-09 00:00:00.000;2005-01-01 00:00:00.000
TER;IVX129;2002-06-26 00:00:00.000;2005-01-01 00:00:00.000
TER;IVX130;1990-12-31 00:00:00.000;
HID;IVX131;1989-02-13 00:00:00.000;
TER;IVX132;2006-11-16 00:00:00.000;
TER;IVX133;2006-12-15 00:00:00.000;
TER;IVX134;2013-07-09 00:00:00.000;
TER;IVX135;1990-12-31 00:00:00.000;
TER;IVX136;1990-12-31 00:00:00.000;2020-10-16 00:00:00.000
TER;IVX137;1990-12-31 00:00:00.000;2020-10-16 00:00:00.000
TER;IVX138;2017-06-07 00:00:00.000;2018-01-01 00:00:00.000
TER;IVX139;1990-12-31 00:00:00.000;
HID;IVX140;1990-12-31 00:00:00.000;
TER;IVX141;1993-01-01 00:00:00.000;2019-05-23 00:00:00.000
TER;IVX142;1993-01-01 00:00:00.000;2018-05-23 00:00:00.000
HID;IVX143;2014-09-17 00:00:00.000;
HID;IVX144;2016-05-05 00:00:00.000;
TER;IVX145;2002-06-28 00:00:00.000;2011-02-15 00:00:00.000
HID;IVX146;1977-02-28 00:00:00.000;
TER;IVX147;2002-06-21 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX148;2009-09-30 00:00:00.000;2023-12-31 00:00:00.000
TER;IVX149;2010-03-30 00:00:00.000;2024-01-01 00:00:00.000
HID;IVX150;2004-12-16 00:00:00.000;
TER;IVX151;2010-05-07 00:00:00.000;
HID;IVX152;2003-02-05 00:00:00.000;
HID;IVX153;1979-04-30 00:00:00.000;
HID;IVX154;1955-01-31 00:00:00.000;
TER;IVX155;2014-10-31 00:00:00.000;
TER;IVX156;2003-10-13 00:00:00.000;2021-03-16 00:00:00.000
TER;IVX157;;
TER;IVX158;2002-11-20 00:00:00.000;2005-07-01 00:00:00.000
TER;IVX159;2002-04-22 00:00:00.000;2004-07-09 00:00:00.000
TER;IVX160;2002-05-28 00:00:00.000;2004-07-09 00:00:00.000
TER;IVX161;2002-04-21 00:00:00.000;2004-07-09 00:00:00.000
TER;IVX162;2002-04-22 00:00:00.000;2003-06-26 00:00:00.000
TER;IVX163;2002-04-21 00:00:00.000;2004-07-09 00:00:00.000
TER;IVX164;2002-04-23 00:00:00.000;2004-07-09 00:00:00.000
TER;IVX165;2002-04-22 00:00:00.000;2004-07-09 00:00:00.000
TER;IVX166;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX167;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX168;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX169;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX172;2002-07-07 00:00:00.000;
TER;IVX173;2013-10-18 00:00:00.000;
TER;IVX174;2002-04-21 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX175;2002-06-01 00:00:00.000;2006-01-01 00:00:00.000
HID;IVX176;1973-09-21 00:00:00.000;
HID;IVX177;2000-01-17 00:00:00.000;
HID;IVX179;1990-12-31 00:00:00.000;
TER;IVX180;2010-01-06 00:00:00.000;
TER;IVX181;2010-12-23 00:00:00.000;
HID;IVX182;2010-07-24 00:00:00.000;
HID;IVX183;2010-08-05 00:00:00.000;
TER;IVX184;2009-01-17 00:00:00.000;2024-01-01 00:00:00.000
TER;IVX185;2002-07-16 00:00:00.000;
HID;IVX186;2009-10-24 00:00:00.000;
HID;IVX187;1959-01-31 00:00:00.000;
HID;IVX188;2010-06-19 00:00:00.000;
HID;IVX189;2006-09-07 00:00:00.000;
HID;IVX190;2010-07-13 00:00:00.000;
HID;IVX191;2014-05-17 00:00:00.000;
HID;IVX192;1997-04-30 00:00:00.000;
HID;IVX193;1998-04-17 00:00:00.000;
TER;IVX194;2010-02-06 00:00:00.000;
TER;IVX195;2016-07-01 00:00:00.000;
TER;IVX196;2013-02-01 00:00:00.000;
TER;IVX197;2013-03-29 00:00:00.000;
TER;IVX198;2013-10-23 00:00:00.000;
TER;IVX199;2013-12-13 00:00:00.000;
HID;IVX200;2009-12-25 00:00:00.000;
HID;IVX201;1960-03-01 00:00:00.000;
HID;IVX202;2006-02-21 00:00:00.000;
HID;IVX203;2007-03-09 00:00:00.000;
TER;IVX204;2002-03-06 00:00:00.000;2005-01-01 00:00:00.000
HID;IVX205;2006-07-20 00:00:00.000;
HID;IVX206;1998-05-29 00:00:00.000;
HID;IVX207;2006-07-01 00:00:00.000;
HID;IVX208;2001-09-04 00:00:00.000;
HID;IVX209;2004-04-09 00:00:00.000;
HID;IVX210;2002-02-20 00:00:00.000;
HID;IVX211;1998-09-15 00:00:00.000;
HID;IVX212;1962-02-01 00:00:00.000;
HID;IVX213;2009-09-09 00:00:00.000;
HID;IVX214;2010-03-03 00:00:00.000;
HID;IVX215;1975-04-01 00:00:00.000;
TER;IVX216;2002-02-02 00:00:00.000;
TER;IVX217;2015-06-30 00:00:00.000;
TER;IVX218;1999-04-01 00:00:00.000;2018-02-20 00:00:00.000
HID;IVX219;2019-03-09 00:00:00.000;
HID;IVX220;2011-08-09 00:00:00.000;
HID;IVX221;2005-07-19 00:00:00.000;
HID;IVX222;2019-09-17 00:00:00.000;
HID;IVX223;2003-04-08 00:00:00.000;
HID;IVX224;2015-11-07 00:00:00.000;
HID;IVX225;2003-06-06 00:00:00.000;
HID;IVX226;2016-09-17 00:00:00.000;
HID;IVX227;2017-12-28 00:00:00.000;
HID;IVX228;2001-02-02 00:00:00.000;
HID;IVX229;1977-07-27 00:00:00.000;
HID;IVX230;2016-04-28 00:00:00.000;
TER;IVX231;2011-02-08 00:00:00.000;
TER;IVX232;2010-12-24 00:00:00.000;
TER;IVX233;2011-01-13 00:00:00.000;
TER;IVX234;2008-01-01 00:00:00.000;
TER;IVX235;2002-03-15 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX236;2002-03-15 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX237;2002-03-15 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX238;2002-03-15 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX239;2002-03-15 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX240;2002-03-15 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX241;2009-06-18 00:00:00.000;2024-01-01 00:00:00.000
TER;IVX242;2009-06-18 00:00:00.000;2024-01-01 00:00:00.000
TER;IVX243;2013-12-05 00:00:00.000;
TER;IVX244;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX245;2008-01-01 00:00:00.000;2022-08-09 00:00:00.000
TER;IVX246;2006-09-09 00:00:00.000;
HID;IVX247;1980-10-01 00:00:00.000;
HID;IVX248;1970-10-25 00:00:00.000;
HID;IVX249;2005-07-31 00:00:00.000;
HID;IVX250;2019-02-08 00:00:00.000;
HID;IVX251;2012-11-23 00:00:00.000;
HID;IVX252;2013-06-14 00:00:00.000;
HID;IVX253;1975-10-17 00:00:00.000;
HID;IVX254;1980-12-31 00:00:00.000;
TER;IVX255;2011-01-01 00:00:00.000;
NUC;IVX256;1977-07-07 00:00:00.000;
HID;IVX257;2013-06-05 00:00:00.000;
TER;IVX258;2014-03-01 00:00:00.000;
TER;IVX259;2001-12-19 00:00:00.000;
TER;IVX260;2004-03-06 00:00:00.000;
TER;IVX261;2002-07-06 00:00:00.000;2005-01-01 00:00:00.000
TER;IVX262;2002-07-21 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX267;2008-09-10 00:00:00.000;
TER;IVX268;2009-03-03 00:00:00.000;
HID;IVX269;1990-12-31 00:00:00.000;
TER;IVX270;1990-12-31 00:00:00.000;
TER;IVX271;1990-12-31 00:00:00.000;2013-01-31 00:00:00.000
HID;IVX272;2011-03-31 00:00:00.000;
HID;IVX273;2010-10-14 00:00:00.000;
HID;IVX274;2004-12-29 00:00:00.000;
HID;IVX275;2009-09-01 00:00:00.000;
HID;IVX276;1973-03-21 00:00:00.000;
HID;IVX277;2012-03-24 00:00:00.000;
HID;IVX278;2008-12-25 00:00:00.000;
HID;IVX279;1978-02-01 00:00:00.000;
HID;IVX280;1962-03-01 00:00:00.000;
TER;IVX281;1968-05-13 00:00:00.000;2018-12-12 00:00:00.000
TER;IVX282;1974-01-01 00:00:00.000;2018-12-12 00:00:00.000
TER;IVX283;1997-01-01 00:00:00.000;2018-12-12 00:00:00.000
HID;IVX284;2011-03-29 00:00:00.000;
TER;IVX285;1968-09-03 00:00:00.000;2014-03-05 00:00:00.000
TER;IVX286;1962-01-04 00:00:00.000;2017-01-01 00:00:00.000
TER;IVX287;2011-01-01 00:00:00.000;
TER;IVX288;2000-12-13 00:00:00.000;
HID;IVX289;2013-09-24 00:00:00.000;
HID;IVX290;2005-11-01 00:00:00.000;
HID;IVX291;2007-02-03 00:00:00.000;
HID;IVX292;2009-12-11 00:00:00.000;
HID;IVX293;2022-07-21 00:00:00.000;
HID;IVX294;2003-12-23 00:00:00.000;
TER;IVX295;2002-08-06 00:00:00.000;2006-01-01 00:00:00.000
TER;IVX296;2002-06-22 00:00:00.000;2005-01-01 00:00:00.000
HID;IVX297;1978-03-01 00:00:00.000;
HID;IVX298;1952-04-01 00:00:00.000;
TER;IVX299;1977-07-07 00:00:00.000;2019-08-14 00:00:00.000
HID;IVX300;1970-02-06 00:00:00.000;
HID;IVX301;1973-03-01 00:00:00.000;
HID;IVX302;1969-02-01 00:00:00.000;
HID;IVX303;1962-09-21 00:00:00.000;
HID;IVX304;1982-04-01 00:00:00.000;
TER;IVX306;1954-03-01 00:00:00.000;
TER;IVX307;2002-08-06 00:00:00.000;2014-09-19 00:00:00.000
HID;IVX308;2002-09-12 00:00:00.000;
HID;IVX309;1999-01-23 00:00:00.000;
HID;IVX310;1975-03-01 00:00:00.000;
HID;IVX311;1987-06-11 00:00:00.000;
HID;IVX312;1958-05-31 00:00:00.000;
HID;IVX313;1992-12-11 00:00:00.000;
HID;IVX314;1969-01-01 00:00:00.000;
HID;IVX315;2011-04-29 00:00:00.000;
HID;IVX316;2006-06-27 00:00:00.000;
HID;IVX317;2009-08-06 00:00:00.000;
HID;IVX318;1971-04-30 00:00:00.000;
HID;IVX319;1972-01-02 00:00:00.000;
HID;IVX320;1980-01-01 00:00:00.000;
HID;IVX321;1982-04-01 00:00:00.000;
HID;IVX322;1963-02-01 00:00:00.000;
TER;IVX323;2021-09-16 00:00:00.000;
TER;IVX324;2021-04-23 00:00:00.000;
TER;IVX325;2010-11-26 00:00:00.000;
TER;IVX326;2009-01-01 00:00:00.000;
TER;IVX327;2017-09-19 00:00:00.000;
TER;IVX328;2020-11-21 00:00:00.000;2021-05-20 00:00:00.000
TER;IVX329;2020-11-21 00:00:00.000;2021-05-20 00:00:00.000
TER;IVX330;2020-12-01 00:00:00.000;2021-05-25 00:00:00.000
HID;IVX331;2005-07-30 00:00:00.000;
HID;IVX332;2016-04-20 00:00:00.000;
HID;IVX333;1977-03-10 00:00:00.000;
HID;IVX334;2008-03-04 00:00:00.000;
HID;IVX335;1980-01-01 00:00:00.000;
HID;IVX336;2014-11-04 00:00:00.000;
HID;IVX337;1940-01-01 00:00:00.000;
HID;IVX338;1978-01-02 00:00:00.000;
HID;IVX339;1973-01-01 00:00:00.000;
HID;IVX340;2012-03-30 00:00:00.000;
