tpins;inst;din_entrada;din_desativacao
TER;IVX36;21/08/2002;01/02/2024
HID;IVX37;01/01/1967;
TER;IVX38;01/01/2008;09/08/2022
HID;IVX39;01/04/1956;
HID;IVX40;24/08/2004;
HID;IVX41;09/05/1999;
HID;IVX42;15/05/1999;
TER;IVX43;17/11/2009;
TER;IVX44;01/05/2002;
TER;IVX45;20/04/2002;26/06/2003
TER;IVX46;17/04/2002;26/06/2003
TER;IVX47;16/07/2002;
NUC;IVX48;25/02/2006;
HID;IVX49;01/04/1969;
HID;IVX50;23/01/2003;
HID;IVX51;01/03/1963;
TER;IVX52;26/06/2002;01/01/2005
HID;IVX53;24/10/2002;
HID;IVX54;22/12/2002;
HID;IVX55;01/02/1980;
HID;IVX56;01/02/1955;
TER;IVX57;16/10/2018;
HID;IVX58;26/09/1992;
TER;IVX59;31/12/2004;
HID;IVX60;07/12/1994;
HID;IVX61;16/04/2005;
HID;IVX62;01/03/1973;
HID;IVX63;01/04/1993;
TER;IVX64;29/03/1965;
TER;IVX65;01/12/2012;
TER;IVX66;08/04/1963;
HID;IVX67;22/05/2002;
HID;IVX68;23/06/2006;
HID;IVX69;01/01/1987;
HID;IVX70;06/07/2010;
HID;IVX71;01/04/2001;
HID;IVX72;18/02/1999;
HID;IVX73;28/02/1956;
TER;IVX74;29/10/2002;01/01/2005
HID;IVX75;28/02/1988;
HID;IVX76;30/04/1994;
HID;IVX77;01/01/1956;
TER;IVX78;01/01/2008;09/08/2022
TER;IVX79;16/02/2002;01/01/2006
HID;IVX80;01/04/2006;
HID;IVX81;31/01/1970;
HID;IVX82;01/07/2000;
TER;IVX83;01/02/2004;
TER;IVX84;01/01/2008;
TER;IVX85;05/11/2004;
TER;IVX86;28/06/2002;01/01/2005
HID;IVX87;01/12/2001;
TER;IVX88;15/11/1979;
TER;IVX89;01/11/1996;
HID;IVX90;16/02/2002;
HID;IVX91;30/04/1984;
TER;IVX92;31/03/2003;05/10/2018
HID;IVX93;30/04/1961;
TER;IVX94;15/05/2004;
TER;IVX95;27/12/2003;29/12/2023
TER;IVX96;27/10/2001;
TER;IVX97;13/03/2019;
TER;IVX98;21/03/2020;
HID;IVX99;01/02/1978;
TER;IVX100;08/01/2004;
HID;IVX101;01/01/1971;
TER;IVX103;17/07/2012;
TER;IVX104;05/02/2013;
TER;IVX105;07/07/1977;
TER;IVX106;01/01/2008;09/08/2022
HID;IVX107;02/11/1997;
HID;IVX108;01/04/1926;
TER;IVX109;08/07/2002;
HID;IVX110;01/02/1969;
HID;IVX111;01/01/1999;
TER;IVX112;01/03/1978;17/02/2021
HID;IVX113;01/02/1984;
TER;IVX114;07/07/1977;05/06/2018
HID;IVX115;05/02/2001;
HID;IVX116;30/04/1969;
HID;IVX117;01/04/1956;
HID;IVX118;25/05/2010;
HID;IVX119;01/04/1953;
HID;IVX120;01/03/1924;
HID;IVX121;06/06/1999;
HID;IVX122;01/04/1962;
HID;IVX123;01/01/1957;
TER;IVX124;20/12/2019;12/09/2023
TER;IVX125;01/03/1967;
TER;IVX126;12/02/2003;
TER;IVX127;05/08/2002;01/01/2006
TER;IVX128;09/06/2002;01/01/2005
TER;IVX129;26/06/2002;01/01/2005
TER;IVX130;31/12/1990;
HID;IVX131;13/02/1989;
TER;IVX132;16/11/2006;
TER;IVX133;15/12/2006;
TER;IVX134;09/07/2013;
TER;IVX135;31/12/1990;
TER;IVX136;31/12/1990;16/10/2020
TER;IVX137;31/12/1990;16/10/2020
TER;IVX138;07/06/2017;01/01/2018
TER;IVX139;31/12/1990;
HID;IVX140;31/12/1990;
TER;IVX141;01/01/1993;23/05/2019
TER;IVX142;01/01/1993;23/05/2018
HID;IVX143;17/09/2014;
HID;IVX144;05/05/2016;
TER;IVX145;28/06/2002;15/02/2011
HID;IVX146;28/02/1977;
TER;IVX147;21/06/2002;01/01/2006
TER;IVX148;30/09/2009;31/12/2023
TER;IVX149;30/03/2010;01/01/2024
HID;IVX150;16/12/2004;
TER;IVX151;07/05/2010;
HID;IVX152;05/02/2003;
HID;IVX153;30/04/1979;
HID;IVX154;31/01/1955;
TER;IVX155;31/10/2014;
TER;IVX156;13/10/2003;16/03/2021
TER;IVX157;;
TER;IVX158;20/11/2002;01/07/2005
TER;IVX159;22/04/2002;09/07/2004
TER;IVX160;28/05/2002;09/07/2004
TER;IVX161;21/04/2002;09/07/2004
TER;IVX162;22/04/2002;26/06/2003
TER;IVX163;21/04/2002;09/07/2004
TER;IVX164;23/04/2002;09/07/2004
TER;IVX165;22/04/2002;09/07/2004
TER;IVX166;01/01/2008;09/08/2022
TER;IVX167;01/01/2008;09/08/2022
TER;IVX168;01/01/2008;09/08/2022
TER;IVX169;01/01/2008;09/08/2022
TER;IVX172;07/07/2002;
TER;IVX173;18/10/2013;
TER;IVX174;21/04/2002;01/01/2006
TER;IVX175;01/06/2002;01/01/2006
HID;IVX176;21/09/1973;
HID;IVX177;17/01/2000;
HID;IVX179;31/12/1990;
TER;IVX180;06/01/2010;
TER;IVX181;23/12/2010;
HID;IVX182;24/07/2010;
HID;IVX183;05/08/2010;
TER;IVX184;17/01/2009;01/01/2024
