id_unidadegeradora;uge_id;instal;maquina;id_tpcombustivel;dtini_oper;din_des;din_iniapur
1;PATU--0UG2 ;IVX91;IVX9156;HD;1984-04-30 00:00:00;;1996-01-01 00:00:00
2;AMMU--0UG10;IVX136;IVX13657;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
3;AMMU--0UG09;IVX136;IVX13658;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
4;AMMU--0UG08;IVX137;IVX13759;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
5;AMMU--0UG07;IVX137;IVX13760;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
6;AMMU--0UG02;IVX136;IVX13661;GS;2013-09-01 00:00:00;2020-10-16;
7;AMMU--0UG01;IVX136;IVX13662;GS;2013-09-01 00:00:00;2020-10-16;
8;BAUCP-0UG4 ;IVX149;IVX14963;OL;2010-04-20 00:00:00;;2010-04-20 00:00:00
9;BAUCP-0UG3 ;IVX149;IVX14964;OL;2010-04-20 00:00:00;;2010-04-20 00:00:00
10;BAUCP-0UG2 ;IVX149;IVX14965;OL;2010-03-30 00:00:00;;2010-03-30 00:00:00
11;BAUCP-0UG1 ;IVX149;IVX14966;OL;2010-03-30 00:00:00;;2010-03-30 00:00:00
12;BAUCM-0UG8 ;IVX148;IVX14867;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
13;BAUCM-0UG7 ;IVX148;IVX14868;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
14;BAUCM-0UG6 ;IVX148;IVX14869;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
15;AMMU--0UG11;IVX136;IVX13670;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
16;BAUCM-0UG5 ;IVX148;IVX14871;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
17;BAUCM-0UG3 ;IVX148;IVX14872;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
18;BAUCM-0UG2 ;IVX148;IVX14873;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
19;BAUCM-0UG1 ;IVX148;IVX14874;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
20;PEUTM-0UG9 ;IVX242;IVX24275;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
21;PEUTM-0UG8 ;IVX242;IVX24276;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
22;PEUTM-0UG7 ;IVX242;IVX24277;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
23;PEUTM-0UG6 ;IVX242;IVX24278;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
24;PEUTM-0UG5 ;IVX242;IVX24279;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
25;PEUTM-0UG4 ;IVX242;IVX24280;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
26;PEUTM-0UG3 ;IVX242;IVX24281;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
27;PEUTM-0UG2 ;IVX242;IVX24282;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
28;PEUTM-0UG12;IVX242;IVX24283;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
29;PEUTM-0UG11;IVX242;IVX24284;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
30;BAUCM-0UG4 ;IVX148;IVX14885;OL;2009-09-30 00:00:00;;2009-09-30 00:00:00
31;PEUTM-0UG10;IVX242;IVX24286;OD;2009-06-18 00:00:00;2023-12-31;2009-06-18 00:00:00
32;AMMU--0UG12;IVX136;IVX13687;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
33;AMMU--0UG14;IVX136;IVX13688;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
34;AMMA--0UG3 ;IVX135;IVX13589;GS;1990-12-31 00:00:00;;
35;AMMA--0UG2 ;IVX135;IVX13590;GS;1990-12-31 00:00:00;;
36;AMMA--0UG1 ;IVX135;IVX13591;GS;1990-12-31 00:00:00;;
37;AMGE--0UG4 ;IVX133;IVX13392;GS;2006-12-15 00:00:00;;
38;AMGE--0UG3 ;IVX133;IVX13393;GS;2006-12-15 00:00:00;;
39;AMGE--0UG2 ;IVX133;IVX13394;GS;2006-12-15 00:00:00;;
40;AMGE--0UG1 ;IVX133;IVX13395;GS;2006-12-15 00:00:00;;
41;AMCR--0UG4 ;IVX132;IVX13296;GS;2006-11-16 00:00:00;;
42;AMCR--0UG3 ;IVX132;IVX13297;GS;2006-11-16 00:00:00;;
43;AMCR--0UG2 ;IVX132;IVX13298;GS;2006-11-16 00:00:00;;
44;AMCR--0UG1 ;IVX132;IVX13299;GS;2006-11-16 00:00:00;;
45;AMAA--0UG9 ;IVX130;IVX130100;GS;1990-12-31 00:00:00;;2015-05-01 00:00:00
46;AMAA--0UG10;IVX130;IVX130101;GS;1990-12-31 00:00:00;;2015-05-01 00:00:00
47;AMMU--0UG13;IVX136;IVX136102;GS;1990-12-31 00:00:00;2020-10-16;2015-05-01 00:00:00
48;AMAA--0UG08;IVX130;IVX130103;GS;1990-12-31 00:00:00;;2015-05-01 00:00:00
49;ALUXG-0UG6 ;IVX76;IVX76104;HD;1994-04-30 00:00:00;;1996-01-03 00:00:00
50;ALUXG-0UG5 ;IVX76;IVX76105;HD;1995-01-31 00:00:00;;1996-01-02 00:00:00
51;ALUXG-0UG4 ;IVX76;IVX76106;HD;1995-10-26 00:00:00;;1996-01-01 00:00:00
52;ALUXG-0UG3 ;IVX76;IVX76107;HD;1996-07-31 00:00:00;;1996-07-31 00:00:00
53;ALUXG-0UG2 ;IVX76;IVX76108;HD;1996-12-20 00:00:00;;1996-12-20 00:00:00
54;ALUXG-0UG1 ;IVX76;IVX76109;HD;1997-08-22 00:00:00;;1997-08-22 00:00:00
55;TOUHSA0UG2 ;IVX317;IVX317110;HD;2009-11-27 00:00:00;;2009-11-27 00:00:00
56;TOUHSA0UG1 ;IVX317;IVX317111;HD;2009-08-06 00:00:00;;2009-08-06 00:00:00
